FALSE,5,OBC,"int offset = CA_TLM_PAGE_SIZE * (command_analyze->tlm_page_no);
",,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,CMD13.PARAM1_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD13.PARAM2_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+13].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+13].param_size_infos[1].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD13.PARAM3_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD13.PARAM4_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+13].param_size_infos[2].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+13].param_size_infos[2].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD13.PARAM5_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD14.FUNC,uint32_t,,(uint32_t)(command_analyze->cmd_table[offset+14].cmd_func),HEX,,,,,,,,,,
,CMD14.PARAM0_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+14].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+14].param_size_infos[0].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD14.PARAM1_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD14.PARAM2_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+14].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+14].param_size_infos[1].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD14.PARAM3_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD14.PARAM4_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+14].param_size_infos[2].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+14].param_size_infos[2].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD14.PARAM5_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD15.FUNC,uint32_t,,(uint32_t)(command_analyze->cmd_table[offset+15].cmd_func),HEX,,,,,,,,,,
,CMD15.PARAM0_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+15].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+15].param_size_infos[0].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD15.PARAM1_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD15.PARAM2_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+15].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+15].param_size_infos[1].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD15.PARAM3_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD15.PARAM4_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+15].param_size_infos[2].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+15].param_size_infos[2].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD15.PARAM5_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD16.FUNC,uint32_t,,(uint32_t)(command_analyze->cmd_table[offset+16].cmd_func),HEX,,,,,,,,,,
,CMD16.PARAM0_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+16].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+16].param_size_infos[0].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD16.PARAM1_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD16.PARAM2_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+16].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+16].param_size_infos[1].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD16.PARAM3_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD16.PARAM4_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+16].param_size_infos[2].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+16].param_size_infos[2].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD16.PARAM5_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD17.FUNC,uint32_t,,(uint32_t)(command_analyze->cmd_table[offset+17].cmd_func),HEX,,,,,,,,,,
,CMD17.PARAM0_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+17].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+17].param_size_infos[0].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD17.PARAM1_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD17.PARAM2_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+17].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+17].param_size_infos[1].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD17.PARAM3_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD17.PARAM4_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+17].param_size_infos[2].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+17].param_size_infos[2].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD17.PARAM5_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD18.FUNC,uint32_t,,(uint32_t)(command_analyze->cmd_table[offset+18].cmd_func),HEX,,,,,,,,,,
,CMD18.PARAM0_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+18].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+18].param_size_infos[0].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD18.PARAM1_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD18.PARAM2_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+18].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+18].param_size_infos[1].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD18.PARAM3_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD18.PARAM4_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+18].param_size_infos[2].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+18].param_size_infos[2].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD18.PARAM5_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD19.FUNC,uint32_t,,(uint32_t)(command_analyze->cmd_table[offset+19].cmd_func),HEX,,,,,,,,,,
,CMD19.PARAM0_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+19].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+19].param_size_infos[0].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD19.PARAM1_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD19.PARAM2_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+19].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+19].param_size_infos[1].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD19.PARAM3_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD19.PARAM4_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+19].param_size_infos[2].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+19].param_size_infos[2].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD19.PARAM5_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD20.FUNC,uint32_t,,(uint32_t)(command_analyze->cmd_table[offset+20].cmd_func),HEX,,,,,,,,,,
,CMD20.PARAM0_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+20].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+20].param_size_infos[0].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD20.PARAM1_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD20.PARAM2_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+20].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+20].param_size_infos[1].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD20.PARAM3_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD20.PARAM4_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+20].param_size_infos[2].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+20].param_size_infos[2].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD20.PARAM5_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD21.FUNC,uint32_t,,(uint32_t)(command_analyze->cmd_table[offset+21].cmd_func),HEX,,,,,,,,,,
,CMD21.PARAM0_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+21].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+21].param_size_infos[0].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD21.PARAM1_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD21.PARAM2_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+21].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+21].param_size_infos[1].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD21.PARAM3_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD21.PARAM4_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+21].param_size_infos[2].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+21].param_size_infos[2].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD21.PARAM5_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD22.FUNC,uint32_t,,(uint32_t)(command_analyze->cmd_table[offset+22].cmd_func),HEX,,,,,,,,,,
,CMD22.PARAM0_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+22].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+22].param_size_infos[0].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD22.PARAM1_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD22.PARAM2_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+22].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+22].param_size_infos[1].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD22.PARAM3_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD22.PARAM4_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+22].param_size_infos[2].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+22].param_size_infos[2].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD22.PARAM5_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD23.FUNC,uint32_t,,(uint32_t)(command_analyze->cmd_table[offset+23].cmd_func),HEX,,,,,,,,,,
,CMD23.PARAM0_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+23].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+23].param_size_infos[0].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD23.PARAM1_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD23.PARAM2_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+23].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+23].param_size_infos[1].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD23.PARAM3_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD23.PARAM4_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+23].param_size_infos[2].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+23].param_size_infos[2].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD23.PARAM5_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD24.FUNC,uint32_t,,(uint32_t)(command_analyze->cmd_table[offset+24].cmd_func),HEX,,,,,,,,,,
,CMD24.PARAM0_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+24].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+24].param_size_infos[0].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD24.PARAM1_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD24.PARAM2_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+24].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+24].param_size_infos[1].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD24.PARAM3_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD24.PARAM4_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+24].param_size_infos[2].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+24].param_size_infos[2].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD24.PARAM5_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD25.FUNC,uint32_t,,(uint32_t)(command_analyze->cmd_table[offset+25].cmd_func),HEX,,,,,,,,,,
,CMD25.PARAM0_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+25].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+25].param_size_infos[0].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD25.PARAM1_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD25.PARAM2_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+25].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+25].param_size_infos[1].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD25.PARAM3_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD25.PARAM4_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+25].param_size_infos[2].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+25].param_size_infos[2].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD25.PARAM5_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD26.FUNC,uint32_t,,(uint32_t)(command_analyze->cmd_table[offset+26].cmd_func),HEX,,,,,,,,,,
,CMD26.PARAM0_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+26].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+26].param_size_infos[0].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD26.PARAM1_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD26.PARAM2_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+26].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+26].param_size_infos[1].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD26.PARAM3_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD26.PARAM4_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+26].param_size_infos[2].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+26].param_size_infos[2].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD26.PARAM5_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD27.FUNC,uint32_t,,(uint32_t)(command_analyze->cmd_table[offset+27].cmd_func),HEX,,,,,,,,,,
,CMD27.PARAM0_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+27].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+27].param_size_infos[0].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD27.PARAM1_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD27.PARAM2_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+27].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+27].param_size_infos[1].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD27.PARAM3_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD27.PARAM4_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+27].param_size_infos[2].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+27].param_size_infos[2].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD27.PARAM5_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD28.FUNC,uint32_t,,(uint32_t)(command_analyze->cmd_table[offset+28].cmd_func),HEX,,,,,,,,,,
,CMD28.PARAM0_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+28].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+28].param_size_infos[0].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD28.PARAM1_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
