FALSE,9,OBC,"uint16_t offset = event_handler->tlm_info.rule.page_no * EH_RULE_TLM_PAGE_SIZE;
,RULE2.SETTINGS.EVENT.ERR_LEVEL,_uint8_t,3,(uint8_t)((((uint8_t)rules[2 + offset].settings.event.err_level) << 5 & 0xe0) | (rules[2 + offset].settings.should_match_err_level << 4 & 0x10) | (rules[2 + offset].settings.is_active << 3 & 0x08) | (((uint8_t)rules[2 + offset].settings.condition.type) & 0x07)),STATUS,,,,,,,"0=HIGH, 1=MIDDLE, 2=LOW, 3=EL, 4=EH, *=N/A",,,
,RULE2.SETTINGS.SHOULD_MATCH_ERR_LEVEL,,1,,STATUS,,,,,,,"0=NO, 1=YES, *=N/A",,,
,RULE2.SETTINGS.IS_ACTIVE,,1,,STATUS,,,,,,,"0=INACTIVE, 1=ACTIVE, *=N/A",,,
,RULE2.SETTINGS.CONDITION.TYPE,,3,,STATUS,,,,,,,"0=SINGLE, 1=CONTINUOUS, 2=CUMULATIVE, *=N/A",,,
,RULE2.SETTINGS.CONDITION.COUNT_THRESHOLD,uint16_t,,rules[2 + offset].settings.condition.count_threshold,NONE,,,,,,,,,,
,RULE2.SETTINGS.CONDITION.TIME_THRESHOLD_MS,uint32_t,,rules[2 + offset].settings.condition.time_threshold_ms,NONE,,,,,,,,,,
,RULE2.SETTINGS.DEPLOY_BCT_ID,uint16_t,,(uint16_t)rules[2 + offset].settings.deploy_bct_id,NONE,,,,,,,,,,
,RULE2.COUNTER,uint16_t,,rules[2 + offset].counter,NONE,,,,,,,,,,
,RULE2.LAST_EVENT_TIME.TOTAL_CYCLE,uint32_t,,(uint32_t)rules[2 + offset].last_event_time.total_cycle,NONE,,,,,,,,,,
,RULE3.SETTINGS.EVENT.GROUP,uint8_t,,(uint8_t)rules[3 + offset].settings.event.group,NONE,,,,,,,,,,
,RULE3.SETTINGS.EVENT.LOCAL,uint32_t,,rules[3 + offset].settings.event.local,NONE,,,,,,,,,,
,RULE3.SETTINGS.EVENT.ERR_LEVEL,_uint8_t,3,(uint8_t)((((uint8_t)rules[3 + offset].settings.event.err_level) << 5 & 0xe0) | (rules[3 + offset].settings.should_match_err_level << 4 & 0x10) | (rules[3 + offset].settings.is_active << 3 & 0x08) | (((uint8_t)rules[3 + offset].settings.condition.type) & 0x07)),STATUS,,,,,,,"0=HIGH, 1=MIDDLE, 2=LOW, 3=EL, 4=EH, *=N/A",,,
,RULE3.SETTINGS.SHOULD_MATCH_ERR_LEVEL,,1,,STATUS,,,,,,,"0=NO, 1=YES, *=N/A",,,
,RULE3.SETTINGS.IS_ACTIVE,,1,,STATUS,,,,,,,"0=INACTIVE, 1=ACTIVE, *=N/A",,,
,RULE3.SETTINGS.CONDITION.TYPE,,3,,STATUS,,,,,,,"0=SINGLE, 1=CONTINUOUS, 2=CUMULATIVE, *=N/A",,,
,RULE3.SETTINGS.CONDITION.COUNT_THRESHOLD,uint16_t,,rules[3 + offset].settings.condition.count_threshold,NONE,,,,,,,,,,
,RULE3.SETTINGS.CONDITION.TIME_THRESHOLD_MS,uint32_t,,rules[3 + offset].settings.condition.time_threshold_ms,NONE,,,,,,,,,,
,RULE3.SETTINGS.DEPLOY_BCT_ID,uint16_t,,(uint16_t)rules[3 + offset].settings.deploy_bct_id,NONE,,,,,,,,,,
,RULE3.COUNTER,uint16_t,,rules[3 + offset].counter,NONE,,,,,,,,,,
,RULE3.LAST_EVENT_TIME.TOTAL_CYCLE,uint32_t,,(uint32_t)rules[3 + offset].last_event_time.total_cycle,NONE,,,,,,,,,,
,RULE4.SETTINGS.EVENT.GROUP,uint8_t,,(uint8_t)rules[4 + offset].settings.event.group,NONE,,,,,,,,,,
,RULE4.SETTINGS.EVENT.LOCAL,uint32_t,,rules[4 + offset].settings.event.local,NONE,,,,,,,,,,
,RULE4.SETTINGS.EVENT.ERR_LEVEL,_uint8_t,3,(uint8_t)((((uint8_t)rules[4 + offset].settings.event.err_level) << 5 & 0xe0) | (rules[4 + offset].settings.should_match_err_level << 4 & 0x10) | (rules[4 + offset].settings.is_active << 3 & 0x08) | (((uint8_t)rules[4 + offset].settings.condition.type) & 0x07)),STATUS,,,,,,,"0=HIGH, 1=MIDDLE, 2=LOW, 3=EL, 4=EH, *=N/A",,,
,RULE4.SETTINGS.SHOULD_MATCH_ERR_LEVEL,,1,,STATUS,,,,,,,"0=NO, 1=YES, *=N/A",,,
,RULE4.SETTINGS.IS_ACTIVE,,1,,STATUS,,,,,,,"0=INACTIVE, 1=ACTIVE, *=N/A",,,
,RULE4.SETTINGS.CONDITION.TYPE,,3,,STATUS,,,,,,,"0=SINGLE, 1=CONTINUOUS, 2=CUMULATIVE, *=N/A",,,
,RULE4.SETTINGS.CONDITION.COUNT_THRESHOLD,uint16_t,,rules[4 + offset].settings.condition.count_threshold,NONE,,,,,,,,,,
,RULE4.SETTINGS.CONDITION.TIME_THRESHOLD_MS,uint32_t,,rules[4 + offset].settings.condition.time_threshold_ms,NONE,,,,,,,,,,
,RULE4.SETTINGS.DEPLOY_BCT_ID,uint16_t,,(uint16_t)rules[4 + offset].settings.deploy_bct_id,NONE,,,,,,,,,,
,RULE4.COUNTER,uint16_t,,rules[4 + offset].counter,NONE,,,,,,,,,,
,RULE4.LAST_EVENT_TIME.TOTAL_CYCLE,uint32_t,,(uint32_t)rules[4 + offset].last_event_time.total_cycle,NONE,,,,,,,,,,
,RULE5.SETTINGS.EVENT.GROUP,uint8_t,,(uint8_t)rules[5 + offset].settings.event.group,NONE,,,,,,,,,,
,RULE5.SETTINGS.EVENT.LOCAL,uint32_t,,rules[5 + offset].settings.event.local,NONE,,,,,,,,,,
,RULE5.SETTINGS.EVENT.ERR_LEVEL,_uint8_t,3,(uint8_t)((((uint8_t)rules[5 + offset].settings.event.err_level) << 5 & 0xe0) | (rules[5 + offset].settings.should_match_err_level << 4 & 0x10) | (rules[5 + offset].settings.is_active << 3 & 0x08) | (((uint8_t)rules[5 + offset].settings.condition.type) & 0x07)),STATUS,,,,,,,"0=HIGH, 1=MIDDLE, 2=LOW, 3=EL, 4=EH, *=N/A",,,
,RULE5.SETTINGS.SHOULD_MATCH_ERR_LEVEL,,1,,STATUS,,,,,,,"0=NO, 1=YES, *=N/A",,,
,RULE5.SETTINGS.IS_ACTIVE,,1,,STATUS,,,,,,,"0=INACTIVE, 1=ACTIVE, *=N/A",,,
,RULE5.SETTINGS.CONDITION.TYPE,,3,,STATUS,,,,,,,"0=SINGLE, 1=CONTINUOUS, 2=CUMULATIVE, *=N/A",,,
,RULE5.SETTINGS.CONDITION.COUNT_THRESHOLD,uint16_t,,rules[5 + offset].settings.condition.count_threshold,NONE,,,,,,,,,,
,RULE5.SETTINGS.CONDITION.TIME_THRESHOLD_MS,uint32_t,,rules[5 + offset].settings.condition.time_threshold_ms,NONE,,,,,,,,,,
,RULE5.SETTINGS.DEPLOY_BCT_ID,uint16_t,,(uint16_t)rules[5 + offset].settings.deploy_bct_id,NONE,,,,,,,,,,
,RULE5.COUNTER,uint16_t,,rules[5 + offset].counter,NONE,,,,,,,,,,
,RULE5.LAST_EVENT_TIME.TOTAL_CYCLE,uint32_t,,(uint32_t)rules[5 + offset].last_event_time.total_cycle,NONE,,,,,,,,,,
,RULE6.SETTINGS.EVENT.GROUP,uint8_t,,(uint8_t)rules[6 + offset].settings.event.group,NONE,,,,,,,,,,
,RULE6.SETTINGS.EVENT.LOCAL,uint32_t,,rules[6 + offset].settings.event.local,NONE,,,,,,,,,,
,RULE6.SETTINGS.EVENT.ERR_LEVEL,_uint8_t,3,(uint8_t)((((uint8_t)rules[6 + offset].settings.event.err_level) << 5 & 0xe0) | (rules[6 + offset].settings.should_match_err_level << 4 & 0x10) | (rules[6 + offset].settings.is_active << 3 & 0x08) | (((uint8_t)rules[6 + offset].settings.condition.type) & 0x07)),STATUS,,,,,,,"0=HIGH, 1=MIDDLE, 2=LOW, 3=EL, 4=EH, *=N/A",,,
,RULE6.SETTINGS.SHOULD_MATCH_ERR_LEVEL,,1,,STATUS,,,,,,,"0=NO, 1=YES, *=N/A",,,
,RULE6.SETTINGS.IS_ACTIVE,,1,,STATUS,,,,,,,"0=INACTIVE, 1=ACTIVE, *=N/A",,,
,RULE6.SETTINGS.CONDITION.TYPE,,3,,STATUS,,,,,,,"0=SINGLE, 1=CONTINUOUS, 2=CUMULATIVE, *=N/A",,,
