FALSE,4,OBC,"const bct_id_t block = block_command_table->pos.block;
",,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,CMD26_PARAM0,uint8_t,,"BCT_get_param_head(block, 26)[0]",HEX,,,,,,,,,,
,CMD26_PARAM1,uint8_t,,"BCT_get_param_head(block, 26)[1]",HEX,,,,,,,,,,
,CMD26_PARAM2,uint8_t,,"BCT_get_param_head(block, 26)[2]",HEX,,,,,,,,,,
,CMD26_PARAM3,uint8_t,,"BCT_get_param_head(block, 26)[3]",HEX,,,,,,,,,,
,CMD26_PARAM4,uint8_t,,"BCT_get_param_head(block, 26)[4]",HEX,,,,,,,,,,
,CMD26_PARAM5,uint8_t,,"BCT_get_param_head(block, 26)[5]",HEX,,,,,,,,,,
,CMD27_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 27)",HEX,,,,,,,,,,
,CMD27_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 27)",NONE,,,,,,,,,,
,CMD27_PARAM0,uint8_t,,"BCT_get_param_head(block, 27)[0]",HEX,,,,,,,,,,
,CMD27_PARAM1,uint8_t,,"BCT_get_param_head(block, 27)[1]",HEX,,,,,,,,,,
,CMD27_PARAM2,uint8_t,,"BCT_get_param_head(block, 27)[2]",HEX,,,,,,,,,,
,CMD27_PARAM3,uint8_t,,"BCT_get_param_head(block, 27)[3]",HEX,,,,,,,,,,
,CMD27_PARAM4,uint8_t,,"BCT_get_param_head(block, 27)[4]",HEX,,,,,,,,,,
,CMD27_PARAM5,uint8_t,,"BCT_get_param_head(block, 27)[5]",HEX,,,,,,,,,,
,CMD28_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 28)",HEX,,,,,,,,,,
,CMD28_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 28)",NONE,,,,,,,,,,
,CMD28_PARAM0,uint8_t,,"BCT_get_param_head(block, 28)[0]",HEX,,,,,,,,,,
,CMD28_PARAM1,uint8_t,,"BCT_get_param_head(block, 28)[1]",HEX,,,,,,,,,,
,CMD28_PARAM2,uint8_t,,"BCT_get_param_head(block, 28)[2]",HEX,,,,,,,,,,
,CMD28_PARAM3,uint8_t,,"BCT_get_param_head(block, 28)[3]",HEX,,,,,,,,,,
,CMD28_PARAM4,uint8_t,,"BCT_get_param_head(block, 28)[4]",HEX,,,,,,,,,,
,CMD28_PARAM5,uint8_t,,"BCT_get_param_head(block, 28)[5]",HEX,,,,,,,,,,
,CMD29_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 29)",HEX,,,,,,,,,,
,CMD29_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 29)",NONE,,,,,,,,,,
,CMD29_PARAM0,uint8_t,,"BCT_get_param_head(block, 29)[0]",HEX,,,,,,,,,,
,CMD29_PARAM1,uint8_t,,"BCT_get_param_head(block, 29)[1]",HEX,,,,,,,,,,
,CMD29_PARAM2,uint8_t,,"BCT_get_param_head(block, 29)[2]",HEX,,,,,,,,,,
,CMD29_PARAM3,uint8_t,,"BCT_get_param_head(block, 29)[3]",HEX,,,,,,,,,,
,CMD29_PARAM4,uint8_t,,"BCT_get_param_head(block, 29)[4]",HEX,,,,,,,,,,
,CMD29_PARAM5,uint8_t,,"BCT_get_param_head(block, 29)[5]",HEX,,,,,,,,,,
,CMD30_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 30)",HEX,,,,,,,,,,
,CMD30_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 30)",NONE,,,,,,,,,,
,CMD30_PARAM0,uint8_t,,"BCT_get_param_head(block, 30)[0]",HEX,,,,,,,,,,
,CMD30_PARAM1,uint8_t,,"BCT_get_param_head(block, 30)[1]",HEX,,,,,,,,,,
,CMD30_PARAM2,uint8_t,,"BCT_get_param_head(block, 30)[2]",HEX,,,,,,,,,,
,CMD30_PARAM3,uint8_t,,"BCT_get_param_head(block, 30)[3]",HEX,,,,,,,,,,
,CMD30_PARAM4,uint8_t,,"BCT_get_param_head(block, 30)[4]",HEX,,,,,,,,,,
,CMD30_PARAM5,uint8_t,,"BCT_get_param_head(block, 30)[5]",HEX,,,,,,,,,,
,CMD31_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 31)",HEX,,,,,,,,,,
,CMD31_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 31)",NONE,,,,,,,,,,
,CMD31_PARAM0,uint8_t,,"BCT_get_param_head(block, 31)[0]",HEX,,,,,,,,,,
,CMD31_PARAM1,uint8_t,,"BCT_get_param_head(block, 31)[1]",HEX,,,,,,,,,,
,CMD31_PARAM2,uint8_t,,"BCT_get_param_head(block, 31)[2]",HEX,,,,,,,,,,
,CMD31_PARAM3,uint8_t,,"BCT_get_param_head(block, 31)[3]",HEX,,,,,,,,,,
,CMD31_PARAM4,uint8_t,,"BCT_get_param_head(block, 31)[4]",HEX,,,,,,,,,,
,CMD31_PARAM5,uint8_t,,"BCT_get_param_head(block, 31)[5]",HEX,,,,,,,,,,
