FALSE,4,OBC,"const bct_id_t block = block_command_table->pos.block;
",,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,CMD4_PARAM3,uint8_t,,"BCT_get_param_head(block, 4)[3]",HEX,,,,,,,,,,
,CMD4_PARAM4,uint8_t,,"BCT_get_param_head(block, 4)[4]",HEX,,,,,,,,,,
,CMD4_PARAM5,uint8_t,,"BCT_get_param_head(block, 4)[5]",HEX,,,,,,,,,,
,CMD5_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 5)",HEX,,,,,,,,,,
,CMD5_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 5)",NONE,,,,,,,,,,
,CMD5_PARAM0,uint8_t,,"BCT_get_param_head(block, 5)[0]",HEX,,,,,,,,,,
,CMD5_PARAM1,uint8_t,,"BCT_get_param_head(block, 5)[1]",HEX,,,,,,,,,,
,CMD5_PARAM2,uint8_t,,"BCT_get_param_head(block, 5)[2]",HEX,,,,,,,,,,
,CMD5_PARAM3,uint8_t,,"BCT_get_param_head(block, 5)[3]",HEX,,,,,,,,,,
,CMD5_PARAM4,uint8_t,,"BCT_get_param_head(block, 5)[4]",HEX,,,,,,,,,,
,CMD5_PARAM5,uint8_t,,"BCT_get_param_head(block, 5)[5]",HEX,,,,,,,,,,
,CMD6_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 6)",HEX,,,,,,,,,,
,CMD6_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 6)",NONE,,,,,,,,,,
