Component,Name,Target,Code,Params,,,,,,,,,,,,,Danger Flag,Is Restricted,Description,Note
AOBC,,,,Num Params,Param1,,Param2,,Param3,,Param4,,Param5,,Param6,,,,,
Comment,,,,,Type,Description,Type,Description,Type,Description,Type,Description,Type,Description,Type,Description,,,,
*,EXAMPLE,OBC,,2,uint32_t,address,int32_t,time [ms],,,,,,,,,,,例,引数の説明と単位を書くこと！（例：time [ms]）
*,,,,,,,,,,,,,,,,,,,,
,NOP,OBC,0x0000,0,,,,,,,,,,,,,,restricted,ダミーコマンド,
,TMGR_SET_TIME,OBC,0x0001,1,uint32_t,TI,,,,,,,,,,,,restricted,MOBC時刻設定コマンド,
,TMGR_UPDATE_UNIXTIME,OBC,0x0002,3,double,unixtime,uint32_t,total_cycle,uint32_t,step,,,,,,,,restricted,MOBC UNIXTIME修正コマンド,
,TMGR_SET_UTL_UNIXTIME_EPOCH,OBC,0x0003,1,double,ult_unixtime_epoch,,,,,,,,,,,,restricted,UTL_cmdで用いるunixtimeの紀元を変更する,utl_unixtime_epoch [s]
,TMGR_SET_CYCLE_CORRECTION,OBC,0x0004,1,double,cycle_correction,,,,,,,,,,,,restricted,CYCLES_PER_SECの補正倍率を変更する@@ 初期値は1.0,
,TMGR_RESET_CYCLE_CORRECTION,OBC,0x0005,0,,,,,,,,,,,,,,restricted,CYCLES_PER_SECの補正倍率を1.0に初期化する,
,TMGR_CLEAR_UNIXTIME_INFO,OBC,0x0006,0,,,,,,,,,,,,,,restricted,unixtime_info_ を初期化する,
,AM_REGISTER_APP,OBC,0x0007,3,uint32_t,app_id,uint32_t,init_ptr,uint32_t,entry_ptr,,,,,,,,restricted,アプリ登録コマンド,
,AM_INITIALIZE_APP,OBC,0x0008,1,uint32_t,app_id,,,,,,,,,,,,restricted,アプリ初期化コマンド,
,AM_EXECUTE_APP,OBC,0x0009,1,uint32_t,app_id,,,,,,,,,,,,restricted,アプリ実行コマンド,
,AM_SET_PAGE_FOR_TLM,OBC,0x000A,1,uint8_t,,,,,,,,,,,,,restricted,テレメトリ生成用ページ番号設定,
,AM_CLEAR_APP_INFO,OBC,0x000B,0,,,,,,,,,,,,,danger,restricted,アプリ実行時間計測の初期化,
,MM_SET_MODE_LIST,OBC,0x000C,2,uint8_t,mode,uint16_t,bc_index,,,,,,,,,,restricted,モード定義リスト設定コマンド,
